Local time,Ask,Bid,AskVolume,BidVolume
25.12.2023 03:44:03.172 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:44:06.130 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:44:08.287 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:44:12.098 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:44:15.258 GMT+0330,1.102,1.10145,120,900
25.12.2023 03:45:15.259 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:50:34.643 GMT+0330,1.1020200000000002,1.10139,900,900
25.12.2023 03:50:34.695 GMT+0330,1.1019200000000002,1.10139,900,900
25.12.2023 04:03:56.478 GMT+0330,1.10174,1.10129,900,900
25.12.2023 04:04:01.494 GMT+0330,1.10174,1.10131,900,450
25.12.2023 04:04:18.744 GMT+0330,1.10174,1.10133,900,450
25.12.2023 04:04:40.907 GMT+0330,1.10174,1.10139,900,900
25.12.2023 04:05:47.113 GMT+0330,1.10178,1.10139,900,900
25.12.2023 04:09:46.470 GMT+0330,1.1017700000000001,1.10139,900,900
25.12.2023 04:10:18.067 GMT+0330,1.10156,1.1013700000000002,900,900
25.12.2023 04:10:18.370 GMT+0330,1.1015700000000002,1.10141,900,900
25.12.2023 04:10:19.023 GMT+0330,1.10155,1.1013700000000002,900,2250
25.12.2023 04:10:19.075 GMT+0330,1.10146,1.1012,900,450
25.12.2023 04:10:19.126 GMT+0330,1.10146,1.1009700000000002,900,900
25.12.2023 04:10:19.177 GMT+0330,1.10146,1.0999700000000001,900,900
25.12.2023 04:10:19.580 GMT+0330,1.10146,1.09979,900,900
